,original_text,cleaned_text,lang
69,"Incendies en Gironde : zoo, hippodrome... les animaux aussi sont évacués https://t.co/O4EFooaxfZ","Incendies en Gironde : zoo, hippodrome... les animaux aussi sont évacués ",fr
72,"🤑Découvrez comment trouver une idée de formation rentable et la créer en 30 jours ! Formation gratuite !
Cliquez sur le lien pour savoir comment gagner de l'argent !
https://t.co/klhiqs6jvM

#citation #argent #investissement

Crédit compte Instagram : millionnaire_secrets https://t.co/lwzqmIM6Mv","🤑Découvrez comment trouver une idée de formation rentable et la créer en 30 jours ! Formation gratuite !
Cliquez sur le lien pour savoir comment gagner de l'argent !


  

Crédit compte Instagram : millionnaire_secrets ",fr
118,#RDC: Agression rwandaise dans l’Est du pays « Le peuple congolais aurait mieux fait de faire des marches plutôt contre Félix Tshisekedi » dit JM Kabund,: Agression rwandaise dans l’Est du pays « Le peuple congolais aurait mieux fait de faire des marches plutôt contre Félix Tshisekedi » dit JM Kabund,fr
124,"Analyse d'une ressortie du Sporting 🇵🇹  R. Amorim⚽️

- Création du jeu à partir du GB 1-4+2
- 2 largeur (LAT puis PISTON) pour étirer le bloc adverse 
- Création d'espace à l'INT + RDF positif
- Création de triangle / Losange avec pointe haute qui décroche

❤️&amp; retour apprécies https://t.co/FCJmLAOZdb","Analyse d'une ressortie du Sporting 🇵🇹  R. Amorim⚽️

- Création du jeu à partir du GB 1-4+2
- 2 largeur (LAT puis PISTON) pour étirer le bloc adverse 
- Création d'espace à l'INT + RDF positif
- Création de triangle / Losange avec pointe haute qui décroche

❤️&amp; retour apprécies ",fr
133,"Montauban : cet attentat dont personne ne veut vous parler.

#Montauban #EmmanuelCueff #munichois #badinter #peinedemort #partisocialiste #macron #Hidalgo #soumission #invasion #immigration https://t.co/2w3uf3s0Yh","Montauban : cet attentat dont personne ne veut vous parler.

           ",fr
141,@TheoEnglebert_ @TheoEnglebert @RWALINDAP Merci de confirmer que vous n'êtes pas sérieux. Mais cela on le savait depuis longtemps.,  Merci de confirmer que vous n'êtes pas sérieux. Mais cela on le savait depuis longtemps.,fr
153,Mali : la présence de la Minusma de nouveau en question https://t.co/C3MZLQIa39 #EyeonMali #Mali #DW,Mali : la présence de la Minusma de nouveau en question    ,fr
154,"Quand des éléments militaires de la #RDF @RwandaMoD creusent des tranchées de défense en terre RDC, ils ne savent pas qu'ils sont vus du ciel. Ainsi, le régime rwandais peut continuer à nier éhonteusement sa présence et son soutien au #M23.
Le @rpfinkotanyi n'a qu'à bien se tenir https://t.co/CU6iN3JaBb","Quand des éléments militaires de la   creusent des tranchées de défense en terre RDC, ils ne savent pas qu'ils sont vus du ciel. Ainsi, le régime rwandais peut continuer à nier éhonteusement sa présence et son soutien au .
Le  n'a qu'à bien se tenir ",fr
158,Uganda 🇺🇬  yibikiye ibikoresho bucece 😎😎 https://t.co/VVgYeJ91g2,Uganda 🇺🇬  yibikiye ibikoresho bucece 😎😎 ,kiny
165,"@Poulin2012 C'est pour proteger
la Republique Antifasciste
de la #RDF 🇫🇷
😊

Berlin
""1961-1986
 25 ans du mur de protection antifasciste"" https://t.co/jFaP9Ts5wh","C'est pour proteger
la Republique Antifasciste
de la  🇫🇷
😊

Berlin
""1961-1986
 25 ans du mur de protection antifasciste"" ",fr
